epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.215,2.28386,4.14669,2.31691,0.29797,0.11209,0.04795,0.01843,2.0987,3.29318,2.30324,0.0033269,0.0033269,0.0033269
2,302.254,1.68178,2.88689,1.82551,0.19514,0.20874,0.11699,0.05376,1.86641,2.78522,1.99866,0.00652836,0.00652836,0.00652836
3,450.327,1.61983,2.74683,1.78196,0.16572,0.2127,0.10645,0.04809,1.9741,2.88414,2.15242,0.00959782,0.00959782,0.00959782
4,587.675,1.59404,2.6887,1.76305,0.22831,0.24525,0.17074,0.0859,1.72131,2.50718,1.94291,0.009406,0.009406,0.009406
5,738.164,1.52607,2.52074,1.69541,0.26257,0.29075,0.20749,0.11268,1.60675,2.35321,1.81887,0.009208,0.009208,0.009208
6,892.816,1.47631,2.40799,1.67008,0.36023,0.28646,0.23245,0.11963,1.62622,2.40275,1.81683,0.00901,0.00901,0.00901
7,1033.57,1.44013,2.32402,1.63528,0.37023,0.35409,0.30222,0.16572,1.51925,2.02459,1.69683,0.008812,0.008812,0.008812
8,1188.54,1.41774,2.27127,1.62152,0.41227,0.37817,0.33781,0.19129,1.49155,1.99904,1.71316,0.008614,0.008614,0.008614
